date,Tokino Sora,Usada Pekora,Shiranui Flare,Houshyou Marine,Shirogane Noel,Kiryu Coco
2021/11/4,879000,1760000,793000,1680000,1340000,1440000
2021/11/5,879000,1760000,794000,1680000,1340000,1440000
2021/11/6,880000,1760000,794000,1680000,1340000,1440000
2021/11/7,880000,1760000,795000,1680000,1340000,1440000
2021/11/8,880000,1760000,795000,1680000,1340000,1440000
2021/11/9,881000,1760000,796000,1680000,1340000,1440000
2021/11/10,881000,1770000,796000,1680000,1340000,1440000
2021/11/11,882000,1770000,798000,1690000,1350000,1440000
2021/11/12,882000,1770000,800000,1690000,1350000,1440000
2021/11/13,883000,1770000,800000,1690000,1350000,1440000
2021/11/14,883000,1770000,801000,1690000,1350000,1440000
2021/11/15,884000,1770000,802000,1690000,1350000,1440000
2021/11/16,884000,1770000,802000,1700000,1350000,1440000
2021/11/17,885000,1780000,803000,1700000,1350000,1440000
2021/11/18,885000,1780000,803000,1700000,1350000,1440000
2021/11/19,885000,1780000,803000,1700000,1350000,1440000
2021/11/20,886000,1780000,804000,1700000,1350000,1440000
2021/11/21,886000,1780000,805000,1700000,1350000,1440000
2021/11/22,886000,1780000,805000,1700000,1350000,1440000
2021/11/23,887000,1790000,808000,1710000,1350000,1440000
2021/11/24,887000,1790000,808000,1710000,1360000,1440000
2021/11/25,888000,1790000,809000,1710000,1360000,1440000
2021/11/26,889000,1790000,810000,1710000,1360000,1440000
2021/11/27,892000,1790000,812000,1710000,1360000,1440000
2021/11/28,893000,1790000,813000,1720000,1360000,1440000
2021/11/29,893000,1790000,813000,1720000,1360000,1440000
2021/11/30,893000,1790000,813000,1720000,1360000,1440000
2021/12/1,893000,1790000,814000,1720000,1360000,1440000
2021/12/2,895000,1800000,814000,1720000,1360000,1440000
2021/12/3,896000,1800000,815000,1720000,1360000,1440000
2021/12/4,897000,1800000,817000,1720000,1360000,1440000
2021/12/5,899000,1800000,818000,1730000,1370000,1440000
2021/12/6,900000,1800000,818000,1730000,1370000,1440000
2021/12/7,901000,1800000,820000,1730000,1370000,1440000
2021/12/8,902000,1800000,820000,1730000,1370000,1440000
2021/12/9,903000,1800000,822000,1730000,1370000,1440000
2021/12/10,903000,1800000,822000,1730000,1370000,1440000
2021/12/11,904000,1810000,823000,1740000,1370000,1440000
2021/12/12,905000,1810000,826000,1740000,1370000,1440000
2021/12/13,906000,1810000,827000,1740000,1380000,1440000
2021/12/14,906000,1810000,827000,1740000,1380000,1440000
2021/12/15,907000,1810000,828000,1740000,1380000,1440000
2021/12/16,908000,1810000,829000,1740000,1380000,1440000
2021/12/17,908000,1810000,829000,1740000,1380000,1440000
2021/12/18,909000,1810000,830000,1750000,1380000,1440000
2021/12/19,909000,1820000,830000,1750000,1380000,1440000
2021/12/20,909000,1820000,830000,1750000,1380000,1440000
2021/12/21,910000,1820000,831000,1750000,1380000,1440000
2021/12/22,910000,1820000,832000,1750000,1380000,1440000
2021/12/23,911000,1820000,832000,1750000,1380000,1440000
2021/12/24,911000,1820000,833000,1750000,1380000,1440000
2021/12/25,912000,1820000,834000,1760000,1390000,1440000
2021/12/26,912000,1820000,834000,1760000,1390000,1440000
2021/12/27,913000,1820000,835000,1760000,1390000,1440000
2021/12/28,913000,1820000,835000,1760000,1390000,1440000
2021/12/29,914000,1830000,836000,1760000,1390000,1440000
2021/12/30,914000,1830000,836000,1760000,1390000,1440000
2021/12/31,915000,1830000,836000,1770000,1390000,1440000
2022/1/1,916000,1830000,837000,1770000,1390000,1440000
2022/1/2,916000,1830000,837000,1770000,1390000,1440000
2022/1/3,917000,1830000,838000,1770000,1390000,1440000
2022/1/4,918000,1830000,839000,1780000,1390000,1440000
2022/1/5,918000,1830000,839000,1780000,1390000,1440000
2022/1/6,919000,1830000,840000,1780000,1400000,1440000
2022/1/7,919000,1830000,840000,1780000,1400000,1440000
2022/1/8,920000,1830000,840000,1790000,1400000,1440000
2022/1/9,920000,1840000,841000,1790000,1400000,1440000
2022/1/10,921000,1840000,841000,1790000,1400000,1440000
2022/1/11,922000,1840000,842000,1790000,1400000,1440000
2022/1/12,922000,1840000,842000,1790000,1400000,1440000
2022/1/13,923000,1840000,843000,1790000,1400000,1440000
2022/1/14,923000,1840000,843000,1790000,1400000,1450000
2022/1/15,924000,1840000,844000,1800000,1400000,1450000
2022/1/16,924000,1840000,844000,1800000,1400000,1450000
2022/1/17,925000,1840000,844000,1800000,1400000,1450000
2022/1/18,926000,1840000,845000,1800000,1400000,1450000
2022/1/19,926000,1840000,845000,1800000,1400000,1450000
2022/1/20,927000,1840000,846000,1800000,1400000,1450000
2022/1/21,927000,1850000,846000,1800000,1410000,1450000
2022/1/22,927000,1850000,847000,1810000,1410000,1450000
2022/1/23,928000,1850000,847000,1810000,1410000,1450000
2022/1/24,929000,1850000,848000,1810000,1410000,1450000
2022/1/25,929000,1850000,848000,1810000,1410000,1450000
2022/1/26,930000,1850000,849000,1810000,1410000,1450000
2022/1/27,930000,1850000,849000,1810000,1410000,1450000
2022/1/28,930000,1850000,849000,1810000,1410000,1450000
2022/1/29,930000,1850000,849000,1810000,1410000,1450000
2022/1/30,931000,1850000,850000,1810000,1410000,1450000
2022/1/31,931000,1850000,850000,1810000,1410000,1450000
2022/2/1,932000,1850000,850000,1810000,1410000,1450000
2022/2/2,932000,1850000,850000,1810000,1410000,1450000
2022/2/3,932000,1850000,851000,1820000,1410000,1450000
2022/2/4,933000,1850000,851000,1820000,1410000,1450000
2022/2/5,933000,1850000,851000,1820000,1410000,1450000
2022/2/6,933000,1850000,852000,1820000,1410000,1450000
2022/2/7,933000,1850000,852000,1820000,1420000,1450000
2022/2/8,934000,1860000,853000,1820000,1420000,1450000
2022/2/9,934000,1860000,854000,1820000,1420000,1450000
2022/2/10,934000,1860000,854000,1820000,1420000,1450000
2022/2/11,935000,1860000,854000,1820000,1420000,1450000
2022/2/12,935000,1860000,854000,1820000,1420000,1450000
2022/2/13,935000,1860000,855000,1820000,1420000,1450000
2022/2/14,936000,1860000,855000,1820000,1420000,1450000
2022/2/15,936000,1860000,856000,1830000,1420000,1450000
2022/2/16,936000,1860000,856000,1830000,1420000,1450000
2022/2/17,937000,1860000,856000,1830000,1420000,1450000
2022/2/18,937000,1860000,857000,1830000,1420000,1450000
2022/2/19,937000,1860000,857000,1830000,1420000,1450000
2022/2/20,938000,1860000,859000,1830000,1420000,1450000
2022/2/21,938000,1860000,860000,1830000,1420000,1450000
2022/2/22,938000,1860000,860000,1830000,1420000,1450000
2022/2/23,939000,1860000,860000,1830000,1420000,1450000
2022/2/24,939000,1870000,861000,1830000,1430000,1450000
2022/2/25,940000,1880000,862000,1830000,1430000,1450000
2022/2/26,939000,1880000,862000,1830000,1430000,1450000
2022/2/27,939000,1880000,862000,1840000,1430000,1450000
2022/2/28,940000,1880000,863000,1840000,1430000,1450000
2022/3/1,940000,1880000,863000,1840000,1430000,1450000
2022/3/2,940000,1880000,863000,1840000,1430000,1450000
2022/3/3,941000,1880000,864000,1840000,1430000,1450000
2022/3/4,941000,1890000,864000,1840000,1440000,1450000
2022/3/5,941000,1890000,864000,1840000,1440000,1450000
2022/3/6,942000,1890000,865000,1840000,1440000,1450000
2022/3/7,942000,1890000,865000,1840000,1440000,1450000
2022/3/8,943000,1890000,865000,1840000,1440000,1450000
2022/3/9,943000,1890000,866000,1840000,1440000,1450000
2022/3/10,943000,1890000,866000,1840000,1440000,1440000
2022/3/11,943000,1890000,866000,1840000,1440000,1440000
2022/3/12,944000,1890000,866000,1850000,1440000,1440000
2022/3/13,944000,1890000,866000,1850000,1440000,1440000
2022/3/14,944000,1890000,867000,1850000,1450000,1440000
2022/3/15,944000,1890000,867000,1850000,1450000,1440000
2022/3/16,945000,1890000,867000,1850000,1450000,1440000
2022/3/17,945000,1890000,867000,1850000,1450000,1440000
2022/3/18,945000,1890000,867000,1850000,1450000,1440000
2022/3/19,945000,1890000,867000,1850000,1450000,1440000
2022/3/20,946000,1890000,868000,1850000,1450000,1440000
2022/3/21,947000,1900000,868000,1850000,1450000,1440000
2022/3/22,947000,1900000,868000,1850000,1450000,1440000
2022/3/23,947000,1900000,868000,1850000,1450000,1440000
2022/3/24,948000,1900000,869000,1860000,1450000,1440000
2022/3/25,949000,1900000,869000,1860000,1450000,1440000
2022/3/26,949000,1900000,869000,1860000,1450000,1440000
2022/3/27,949000,1900000,869000,1860000,1450000,1440000
2022/3/28,950000,1900000,869000,1860000,1460000,1440000
2022/3/29,951000,1900000,870000,1860000,1460000,1440000
2022/3/30,951000,1900000,870000,1860000,1460000,1440000
2022/3/31,952000,1900000,870000,1860000,1460000,1440000
2022/4/1,952000,1900000,870000,1860000,1460000,1440000
2022/4/2,952000,1900000,871000,1860000,1460000,1440000
2022/4/3,952000,1910000,871000,1870000,1460000,1440000
2022/4/4,953000,1910000,872000,1870000,1460000,1440000
2022/4/5,953000,1910000,872000,1870000,1460000,1440000
2022/4/6,954000,1910000,873000,1870000,1460000,1440000
2022/4/7,954000,1910000,873000,1870000,1460000,1440000
2022/4/8,954000,1910000,873000,1870000,1460000,1440000
2022/4/9,955000,1910000,873000,1870000,1470000,1440000
2022/4/10,955000,1910000,874000,1870000,1470000,1440000
2022/4/11,955000,1910000,874000,1880000,1470000,1440000
2022/4/12,955000,1910000,874000,1880000,1470000,1440000
2022/4/13,956000,1910000,874000,1880000,1470000,1440000
2022/4/14,956000,1910000,874000,1880000,1470000,1440000
2022/4/15,957000,1910000,874000,1880000,1470000,1440000
2022/4/16,957000,1910000,874000,1880000,1470000,1440000
2022/4/17,957000,1910000,874000,1880000,1470000,1440000
2022/4/18,958000,1920000,874000,1880000,1470000,1440000
2022/4/19,958000,1920000,875000,1880000,1470000,1440000
2022/4/20,958000,1920000,875000,1880000,1470000,1440000
2022/4/21,959000,1920000,875000,1880000,1470000,1440000
2022/4/22,959000,1920000,875000,1880000,1470000,1440000
2022/4/23,959000,1920000,875000,1880000,1470000,1440000
2022/4/24,960000,1920000,875000,1880000,1470000,1440000
2022/4/25,960000,1920000,875000,1880000,1480000,1440000
2022/4/26,960000,1920000,875000,1880000,1480000,1440000
2022/4/27,960000,1920000,875000,1890000,1480000,1440000
2022/4/28,960000,1920000,876000,1890000,1480000,1440000
2022/4/29,961000,1920000,876000,1900000,1480000,1440000
2022/4/30,961000,1920000,876000,1900000,1480000,1440000
2022/5/1,961000,1930000,876000,1900000,1480000,1440000
2022/5/2,961000,1930000,876000,1900000,1480000,1440000
2022/5/3,962000,1930000,876000,1900000,1480000,1440000
2022/5/4,962000,1930000,877000,1900000,1480000,1440000
2022/5/5,963000,1930000,877000,1910000,1480000,1440000
2022/5/6,963000,1930000,877000,1910000,1480000,1440000
2022/5/7,963000,1930000,878000,1910000,1480000,1440000
2022/5/8,963000,1930000,878000,1910000,1480000,1440000
2022/5/9,964000,1930000,878000,1910000,1480000,1440000
2022/5/10,964000,1930000,878000,1910000,1480000,1440000
2022/5/11,964000,1930000,878000,1910000,1480000,1440000
2022/5/12,965000,1930000,878000,1910000,1480000,1440000
2022/5/13,965000,1930000,879000,1910000,1490000,1440000
2022/5/14,966000,1930000,879000,1910000,1490000,1440000
2022/5/15,970000,1930000,880000,1910000,1490000,1440000
2022/5/16,971000,1930000,880000,1910000,1490000,1440000
2022/5/17,971000,1930000,880000,1910000,1490000,1440000
2022/5/18,971000,1930000,880000,1910000,1490000,1440000
2022/5/19,972000,1930000,881000,1920000,1490000,1440000
2022/5/20,972000,1930000,881000,1920000,1490000,1440000
2022/5/21,972000,1930000,881000,1920000,1490000,1440000
2022/5/22,973000,1940000,881000,1920000,1490000,1440000
2022/5/23,973000,1940000,881000,1920000,1490000,1440000
2022/5/24,973000,1940000,882000,1920000,1490000,1440000
2022/5/25,973000,1940000,882000,1920000,1490000,1440000
2022/5/26,973000,1940000,882000,1920000,1490000,1440000
2022/5/27,974000,1940000,882000,1920000,1490000,1440000
2022/5/28,974000,1940000,882000,1920000,1490000,1440000
2022/5/29,974000,1940000,882000,1920000,1490000,1440000
2022/5/30,974000,1940000,882000,1920000,1490000,1440000
2022/5/31,974000,1940000,882000,1920000,1490000,1440000
